,Level,Class,HP,Str,Mag,Dex,Spd,Def,Res,Lck,Bld,Mov,HPgrowth,Strgrowth,Maggrowth,Dexgrowth,Spdgrowth,Defgrowth,Resgrowth,Lckgrowth,Bldgrowth
Alear,1,Dragon Child,22,6,0,5,7,5,3,5,4,4,60,35,20,45,50,40,25,25,5
Vander,1,Paladin,40,11,5,10,8,10,8,6,8,6,60,25,10,25,35,35,20,10,5
Clanne,1,Mage,19,1,8,11,9,4,7,4,4,4,40,35,10,40,50,30,25,20,5
Framme,1,Martial Monk,18,3,5,8,7,4,8,5,3,4,55,30,25,35,55,25,30,25,0
Alfred,5,Noble,27,9,2,10,6,8,5,8,6,5,65,40,5,35,40,40,20,40,10
Etie,4,Archer,21,10,0,11,6,3,2,8,4,4,45,40,0,25,35,25,30,25,5
Boucheron,4,Axe Fighter,29,10,0,8,7,6,3,5,9,4,85,20,0,50,45,35,20,15,20
Celine,5,Noble,22,7,9,9,10,5,7,11,4,4,50,35,25,30,45,30,40,50,5
Chloe,6,Lance Flier,26,8,4,13,13,5,9,10,5,5,75,25,35,40,55,30,25,25,5
Louis,6,Lance Armor,30,13,0,11,3,16,1,4,8,4,75,40,0,25,25,50,20,25,15
Yunaka,6,Thief,25,8,5,14,12,9,7,8,5,5,50,35,25,40,45,15,45,25,5
Alcryst,10,Lord,28,11,2,17,12,8,5,8,6,4,65,30,10,40,45,30,20,15,10
Citrinne,10,Mage,24,2,15,13,10,3,12,10,4,4,45,10,40,25,30,20,40,25,5
Lapis,10,Sword Fighter,26,11,2,12,14,7,6,7,5,4,55,25,20,35,55,35,30,25,5
Diamant,11,Lord,32,13,3,13,13,10,6,10,9,4,75,30,15,20,40,40,25,20,15
Amber,11,Lance Cavalier,31,15,2,13,11,9,3,9,8,5,65,45,0,25,30,35,5,35,15
Jade,12,Axe Armor,33,14,4,14,5,18,6,5,8,4,55,35,25,35,30,40,30,20,10
Ivy,17,Wing Tamer,32,7,17,15,13,12,15,4,7,5,55,25,30,25,40,30,35,15,10
Kagetsu,1,Swordmaster,35,17,5,22,22,14,10,17,9,5,60,30,15,50,50,40,25,40,10
Zelkov,17,Thief,35,15,3,19,19,14,5,7,9,5,65,35,15,40,35,35,15,25,10
Fogado,17,Sentinel,33,12,7,17,18,10,11,8,8,5,60,30,25,30,55,30,35,25,10
Pandreo,1,High Priest,34,7,16,18,17,8,22,14,8,5,60,5,30,45,45,15,55,30,15
Bunet,1,Great Knight,41,15,5,15,9,20,8,13,11,6,65,30,10,40,35,45,25,40,10
Timerra,18,Sentinel,35,14,6,17,18,16,8,10,5,4,55,25,25,45,45,30,30,30,10
Panette,1,Berserker,46,25,3,19,13,11,7,11,11,5,75,45,10,40,25,30,15,20,15
Merrin,1,Wolf Knight,36,15,10,21,21,12,12,14,9,6,55,25,25,40,50,30,30,25,10
Hortensia,19,Wing Tamer,27,5,12,21,19,6,23,17,5,5,40,20,20,35,50,25,55,50,0
Seadall,15,Dancer,33,12,4,15,16,10,10,11,8,5,55,25,15,25,50,25,25,35,10
Rosado,3,Wyvern Knight,44,16,7,19,21,15,11,8,8,6,75,45,25,40,45,30,30,20,5
Goldmary,3,Hero,40,17,2,18,20,20,12,13,9,5,65,30,5,25,25,55,25,25,5
Lindon,5,Sage,38,8,19,21,19,12,21,8,10,5,65,25,25,25,40,25,40,15,10
Saphir,7,Warrior,51,24,2,23,19,19,9,15,15,5,80,35,0,25,30,30,5,20,10
Veyle,35,Fell Child,35,20,26,24,23,17,29,18,7,5,40,25,45,35,30,25,35,20,0
Mauvier,12,Royal Knight,51,21,23,25,22,26,24,16,12,6,70,35,40,40,35,50,45,15,15
Anna,5,Axe Fighter,29,10,2,9,7,4,5,3,7,4,55,15,50,50,50,20,35,45,5
Jean,1,Martial Monk,19,4,5,10,7,4,8,3,3,4,50,20,20,35,40,25,20,25,5
